
Country,City,AccentCity,Region,Population,Latitude,Longitude
us,new york,New York,NY,8107916,40.7141667,-74.0063889
gb,london,London,H9,7421228,51.514125,-.093689
au,sydney,Sydney,02,4394585,-33.861481,151.205475
np,kathmandu,Kathmandu,00,790612,27.7166667,85.3166667
ca,toronto,Toronto,08,4612187,43.666667,-79.416667
in,new delhi,New Delhi,07,10928270,28.6,77.2
jp,tokyo,Tokyo,40,31480498,35.685,139.751389
sg,singapore,Singapore,00,3547809,1.2930556,103.8558333
cn,shanghai,Shanghai,23,14608512,31.045556,121.399722
de,berlin,Berlin,16,3398362,52.516667,13.4
fr,paris,Paris,A8,2110694,48.866667,2.333333
